title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Vlada FBiH,27138672,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
Porezna uprava,41278721,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Federacija Bosne i Hercegovine
FMF - Organi uprave,736128773,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
Parlament FBiH,5590704,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
Fed. uprava za inspekcijske poslove,16884440,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi,Federacija Bosne i Hercegovine
Fed. zavod za statistiku,19459603,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi,Federacija Bosne i Hercegovine
Ured Predsjednika i Podpredsjednika FBiH,3223611,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
Ured za reviziju institucija u FBiH,3352409,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Federacija Bosne i Hercegovine
Agencija za državnu službu FBiH,2326030,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.1,Ljudski resursi,Federacija Bosne i Hercegovine
Finansijska policija,1668841,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi,Federacija Bosne i Hercegovine
Arhiv FBiH,570685,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Federacija Bosne i Hercegovine
Fed. min. pravde,44961679,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
MUP FBiH,43189125,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Federacija Bosne i Hercegovine
Vrhovni sud FBiH,22502360,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Federacija Bosne i Hercegovine
Fed. uprava za CZ,8563469,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Federacija Bosne i Hercegovine
Fed. tužilaštvo FBiH,1496464,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Federacija Bosne i Hercegovine
Ustavni sud FBiH,1101478,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Federacija Bosne i Hercegovine
Fed. pravobranilaštvo,1054536,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Federacija Bosne i Hercegovine
JU centar za edukaciju sudija i tužilaca,732102,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Federacija Bosne i Hercegovine
Gender centar FBiH,648438,2013,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Federacija Bosne i Hercegovine
"Fed. min. poljoprivr., vodoprivr i šumarstva",73164346,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
Fed. min. prometa i komun.,66038573,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
"Fed. min. energije, rudarstva i industr.",42461386,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
"Fed. min. razvoja, poduz. i obrta",5553980,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
Fed. direkcija robnih rezervi,3558137,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
Fed. hitro - metero. zavod,2519048,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Federacija Bosne i Hercegovine
Fed. zavod za poljoprivredu Sarajevo,1877393,2013,04,Ekonomija,04.2,Poljoprivreda i šumarstvo,04.2.1,Agrokultura,Federacija Bosne i Hercegovine
