title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level,
Agencija za agrarna plačanja,91765209,2013,04,Ekonomija,04.2,Poljoprivreda i šumarstvo,04.2.1,Agrokultura,Republika Srpska,
Agencija za bezbj. saobračaja,136524,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Republika Srpska,
Agencija za državnu upravu,599886,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Agencija za upravljanje oduz. imov.,372088,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Republika Srpska,
Akademija nauka i umj. RS-a,1181987,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Republika Srpska,
Arhiv RS-a,888430,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Republika Srpska,
Centar za edu.  sudija i javnih tužilaca u RS-u,381322,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Centar za pruž. besp. prav. pomoći,1142557,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Gender centar,580052,2013,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Republika Srpska,
Glavna služba za reviziju jav. sektora RS-a,3370643,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Republika Srpska,
Helikopterski servis,1027834,2013,04,Ekonomija,04.5,Transport,04.5.4,Avijacija,Republika Srpska,
Institucije kulture,10781274,2013,08,Kultura i religija,08.2,Kultura,08.2.0,Kultura,Republika Srpska,
Kanc. pravnog predstavnika,204321,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Kazneno popravni zavodi RS-a,25014400,2013,03,Red i sigurnost,03.4,Zatvori,03.4.0,Zatvori,Republika Srpska,
Komisija za žalbe,175947,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.1,Ljudski resursi,Republika Srpska,
Min za izbjeglice i raseljena lica,11460260,2013,10,Penzije i socijalno,10.7,Socijalna politika,10.7.0,Socijalna politika,Republika Srpska,
"Min. energije, rudarstva i indust.",21768501,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Min. finansija,7898312,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Min. nauke i tehnologije,5554991,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
"Min. poljoprivr., vodoprivr. I šumarstva",7862892,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
"Min. porodice, omladine i sporta",6487248,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Min. pravde,2814278,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Min. prosvjete i kulture,6752521,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Min. rada i borač. invalid. zaštite,451143998,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Min. saobračaja i veza,28528975,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Min. trgo. i turizma,7209635,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Min. uprave i lok. samouprave,7094634,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Min. za ekon. odnose i region. saradnju,5225668,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
"Min. za prost. uređ., građ. i ekolo.",5099559,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Min. zdravlja i soc. zaštite,32689566,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Republika Srpska,
MUP RS-a,155316441,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Republika Srpska,
Narodna skupština RS-a,9291192,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Odbor državne uprave za žalbe,262001,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.1,Ljudski resursi,Republika Srpska,
Okružni privredni sudovi RS-a,4258733,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Okružni sudovi RS-a,11124088,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Okružno tužilaštvo RS-a,9393788,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Ombdusmen za djecu RS-a,728372,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Osnovni sudovi RS-a,31891513,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Osnovno obrazovanje,195719101,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Republika Srpska,
Poreska uprava RS-a,24114857,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Republika Srpska,
Pravobranilaštvo RS-a,3460191,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Predsjednik RS-a,8672570,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Repub. centar za istraž. rat. zločina,1681280,2013,01,Rad Vlade,01.4,Istraživanja,01.4.0,Istraživanja,Republika Srpska,
Repub. devizni inspektorat,481123,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Repub. dir. za civ. vazd. plovidbu,1448982,2013,04,Ekonomija,04.5,Transport,04.5.4,Avijacija,Republika Srpska,
Repub. dir. za obnovu i izgrad.,647066,2013,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Republika Srpska,
Repub. hidromet. zavod,1198446,2013,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Republika Srpska,
Repub. izborna komisija,122962,2013,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Republika Srpska,
Repub. komis. za utvrđ. interesa u organ. vlasti RS-a,248780,2013,01,Rad Vlade,01.4,Istraživanja,01.4.0,Istraživanja,Republika Srpska,
Repub. pedagoški zavod,1499191,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Republika Srpska,
Repub. sekretar. za vjere,3649088,2013,08,Kultura i religija,08.4,Religija,08.4.0,Religija,Republika Srpska,
Repub. sekretar. za zakonodav.,628672,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Repub. tužilaštvo RS-a,628737,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Repub. uprava CZ,4653282,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Republika Srpska,
Repub. uprava za geo. i imovinsko pravne odnose,15453068,2013,06,Naše ulice,06.1,Stambeno,06.1.0,Stambeno,Republika Srpska,
Repub. uprava za igre na sreću,1344776,2013,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Republika Srpska,
Repub. uprava za inspekc. poslove,9927127,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi,Republika Srpska,
Repub. zavod za geo. istraž.,573401,2013,04,Ekonomija,04.8,Ekonomska istraživanja,04.8.4,Geološka istraživanja,Republika Srpska,
Repub. zavod za standard. i metrolo.,344985,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Republika Srpska,
Repub. zavod za statistiku,14034756,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.2,Planiranje i statistika,Republika Srpska,
Repub. zavod za zaštitu kult. isto. i pr. naslijeđa,676136,2013,08,Kultura i religija,08.2,Kultura,08.2.0,Kultura,Republika Srpska,
Služba za zajednič. poslove Vlade RS-a,5369108,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Republika Srpska,
Specijalno i umjetničko obrazov.,9877642,2013,09,Obrazovanje,09.3,Specijalno i umjetničko obrazovanje,09.3.0,Specijalno i umjetničko obrazovanje,Republika Srpska,
Specijalno tužilaštvo,1906023,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Srednje obrazovanje,77415347,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Republika Srpska,
Studentski i đački domovi,4545001,2013,09,Obrazovanje,09.6,Studentski standard,09.6.0,Studentski standard,Republika Srpska,
Sudska policija RS-a,5238321,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Republika Srpska,
Univerziteti u RS-u,81366825,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Republika Srpska,
Ustavni sud RS-a,1855653,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
Vazduhoplovni servis,1105848,2013,04,Ekonomija,04.5,Transport,04.5.4,Avijacija,Republika Srpska,
Vijeće naroda RS-a,2895578,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Republika Srpska,
Visoke šk. u RS-u,1399327,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Republika Srpska,
