"Tekjuflokkur","Undirflokkur","Upphæð","Dagsetning"
"Skattar á tekjur og hagnað","Tekjuskattur, einstaklingar",10062874206,"2012-01-31"
"Skattar á tekjur og hagnað","Tekjuskattur, einstaklingar",8688966683,"2012-02-29"
"Skattar á tekjur og hagnað","Tekjuskattur, einstaklingar",8745632703,"2012-03-31"
"Skattar á tekjur og hagnað","Tekjuskattur, einstaklingar",9137130809,"2012-04-30"
"Skattar á tekjur og hagnað","Tekjuskattur, einstaklingar",8207370564,"2012-05-31"
"Skattar á tekjur og hagnað","Tekjuskattur, einstaklingar",9695498971,"2012-06-30"
"Skattar á tekjur og hagnað","Tekjuskattur, einstaklingar",8579871504,"2012-07-31"
"Skattar á tekjur og hagnað","Tekjuskattur, einstaklingar",1340820907,"2012-08-31"
"Skattar á tekjur og hagnað","Tekjuskattur, einstaklingar",7678798529,"2012-09-30"
"Skattar á tekjur og hagnað","Tekjuskattur, einstaklingar",9697038885,"2012-10-31"
"Skattar á tekjur og hagnað","Tekjuskattur, einstaklingar",9276795400,"2012-11-30"
"Skattar á tekjur og hagnað","Tekjuskattur, einstaklingar",10501885577,"2012-12-31"
"Skattar á tekjur og hagnað","Tekjuskattur, lögaðilar",393382036,"2012-01-31"
"Skattar á tekjur og hagnað","Tekjuskattur, lögaðilar",4336544568,"2012-02-29"
"Skattar á tekjur og hagnað","Tekjuskattur, lögaðilar",2668048555,"2012-03-31"
"Skattar á tekjur og hagnað","Tekjuskattur, lögaðilar",4489381262,"2012-04-30"
"Skattar á tekjur og hagnað","Tekjuskattur, lögaðilar",1285651001,"2012-05-31"
"Skattar á tekjur og hagnað","Tekjuskattur, lögaðilar",2417022573,"2012-06-30"
"Skattar á tekjur og hagnað","Tekjuskattur, lögaðilar",2444040516,"2012-07-31"
"Skattar á tekjur og hagnað","Tekjuskattur, lögaðilar",2433364290,"2012-08-31"
"Skattar á tekjur og hagnað","Tekjuskattur, lögaðilar",2357069359,"2012-09-30"
"Skattar á tekjur og hagnað","Tekjuskattur, lögaðilar",163522680,"2012-10-31"
"Skattar á tekjur og hagnað","Tekjuskattur, lögaðilar",5068447805,"2012-11-30"
"Skattar á tekjur og hagnað","Tekjuskattur, lögaðilar",10018835653,"2012-12-31"
"Skattar á tekjur og hagnað","Skattur á fjármagnstekjur",865014988,"2012-01-31"
"Skattar á tekjur og hagnað","Skattur á fjármagnstekjur",10274355622,"2012-02-29"
"Skattar á tekjur og hagnað","Skattur á fjármagnstekjur",188426007,"2012-03-31"
"Skattar á tekjur og hagnað","Skattur á fjármagnstekjur",290780486,"2012-04-30"
"Skattar á tekjur og hagnað","Skattur á fjármagnstekjur",3630201913,"2012-05-31"
"Skattar á tekjur og hagnað","Skattur á fjármagnstekjur",792811244,"2012-06-30"
"Skattar á tekjur og hagnað","Skattur á fjármagnstekjur",74993773,"2012-07-31"
"Skattar á tekjur og hagnað","Skattur á fjármagnstekjur",4272813580,"2012-08-31"
"Skattar á tekjur og hagnað","Skattur á fjármagnstekjur",1146956222,"2012-09-30"
"Skattar á tekjur og hagnað","Skattur á fjármagnstekjur",1052421820,"2012-10-31"
"Skattar á tekjur og hagnað","Skattur á fjármagnstekjur",-5906141246,"2012-11-30"
"Skattar á tekjur og hagnað","Skattur á fjármagnstekjur",726489407,"2012-12-31"
"Skattar á launagr. og vinnuafl","Skattar á launagr. og vinnuafl",278594379,"2012-01-31"
"Skattar á launagr. og vinnuafl","Skattar á launagr. og vinnuafl",220019395,"2012-02-29"
"Skattar á launagr. og vinnuafl","Skattar á launagr. og vinnuafl",274181346,"2012-03-31"
"Skattar á launagr. og vinnuafl","Skattar á launagr. og vinnuafl",678352487,"2012-04-30"
"Skattar á launagr. og vinnuafl","Skattar á launagr. og vinnuafl",635781689,"2012-05-31"
"Skattar á launagr. og vinnuafl","Skattar á launagr. og vinnuafl",474567326,"2012-06-30"
"Skattar á launagr. og vinnuafl","Skattar á launagr. og vinnuafl",479989110,"2012-07-31"
"Skattar á launagr. og vinnuafl","Skattar á launagr. og vinnuafl",493081569,"2012-08-31"
"Skattar á launagr. og vinnuafl","Skattar á launagr. og vinnuafl",481174179,"2012-09-30"
"Skattar á launagr. og vinnuafl","Skattar á launagr. og vinnuafl",465338080,"2012-10-31"
"Skattar á launagr. og vinnuafl","Skattar á launagr. og vinnuafl",456443978,"2012-11-30"
"Skattar á launagr. og vinnuafl","Skattar á launagr. og vinnuafl",500619633,"2012-12-31"
