"Auðkenni ráðuneytis","Ráðuneyti","Rasto","Stofnun","Gjöld - sértekjur","Lokadagsetning ársfjórðungs"
"00","Æðsta stjórn ríkisins","00101","Embætti forseta Íslands",53476320,"2012-12-31"
"00","Æðsta stjórn ríkisins","00201","Alþingi",681369839,"2012-12-31"
"00","Æðsta stjórn ríkisins","00205","Framkvæmdir á Alþingisreit",37414217,"2012-12-31"
"00","Æðsta stjórn ríkisins","00290","Stjórnlagaþing",0,"2012-12-31"
"00","Æðsta stjórn ríkisins","00291","Rannsóknarnefndir Alþingis",164575404,"2012-12-31"
"00","Æðsta stjórn ríkisins","00295","Saksóknari Alþingis",-91824,"2012-12-31"
"00","Æðsta stjórn ríkisins","00301","Ríkisstjórn",63501271,"2012-12-31"
"00","Æðsta stjórn ríkisins","00401","Hæstiréttur",52787210,"2012-12-31"
"00","Æðsta stjórn ríkisins","00610","Umboðsmaður Alþingis",41168735,"2012-12-31"
"00","Æðsta stjórn ríkisins","00620","Ríkisendurskoðun",101621300,"2012-12-31"
"01","Forsætisráðuneyti","01101","Forsætisráðuneyti, aðalskrifstofa",95478739,"2012-12-31"
"01","Forsætisráðuneyti","01190","Ýmis verkefni",121830969,"2012-12-31"
"01","Forsætisráðuneyti","01199","Ráðstöfunarfé",0,"2012-12-31"
"01","Forsætisráðuneyti","01201","Fasteignir forsætisráðuneytis",23847129,"2012-12-31"
"01","Forsætisráðuneyti","01203","Fasteignir Stjórnarráðsins",1175190,"2012-12-31"
"01","Forsætisráðuneyti","01241","Umboðsmaður barna",14168625,"2012-12-31"
"01","Forsætisráðuneyti","01253","Vest-norrænt menningarhús í Kaupmannahöfn",242421,"2012-12-31"
"01","Forsætisráðuneyti","01261","Óbyggðanefnd",11871378,"2012-12-31"
"01","Forsætisráðuneyti","01271","Ríkislögmaður",13100820,"2012-12-31"
"01","Forsætisráðuneyti","01281","Atvinnuuppbygging og fjölgun vistvænna starfa",0,"2012-12-31"
"01","Forsætisráðuneyti","01902","Þjóðgarðurinn á Þingvöllum",21190171,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02101","Mennta- og menningarmálaráðuneyti, aðalskrifstofa",218390032,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02199","Ráðstöfunarfé",0,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02201","Háskóli Íslands",2751562151,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02202","Tilraunastöð Háskólans að Keldum",58596063,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02203","Raunvísindastofnun Háskólans",-5783518,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02209","Stofnun Árna Magnússonar í íslenskum fræðum",75547814,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02210","Háskólinn á Akureyri",352045986,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02216","Landbúnaðarháskóli Íslands",151329608,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02217","Hólaskóli - Háskólinn á Hólum",98804217,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02223","Námsmatsstofnun",34733039,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02225","Háskólinn á Bifröst",83626200,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02227","Háskólinn í Reykjavík",528728000,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02228","Listaháskóli Íslands",204850040,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02231","Rannsóknamiðstöð Íslands",25430588,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02235","Markáætlun á sviði vísinda og tækni",29577541,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02236","Rannsóknasjóður",162942939,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02238","Tækjasjóður",139746651,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02239","Rannsóknarnámssjóður",27017003,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02269","Háskóla- og vísindastofnanir, viðhald og stofnkostnaður",144899267,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02299","Háskóla- og rannsóknastarfsemi",146458739,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02301","Menntaskólinn í Reykjavík",153635805,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02302","Menntaskólinn á Akureyri",156720345,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02303","Menntaskólinn að Laugarvatni",37539872,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02304","Menntaskólinn við Hamrahlíð",265670852,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02305","Menntaskólinn við Sund",136575518,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02306","Menntaskólinn á Ísafirði",74457791,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02307","Menntaskólinn á Egilsstöðum",71661513,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02308","Menntaskólinn í Kópavogi",256363280,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02309","Kvennaskólinn í Reykjavík",122198741,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02316","Fasteignir framhaldsskóla",2768814,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02318","Framhaldsskólar, stofnkostnaður",254078459,"2012-12-31"
"02","Mennta- og menningarmálaráðuneyti","02319","Framhaldsskólar, almennt",262066477,"2012-12-31"
